id_normativo;orgao;tipo;ano;numero;titulo;link;link_dou;assunto;dt_captura;dt_emissao;dt_publicacao_dou;dt_modificacao;dt_retificacao;texto
57;"Receita Federal";"Ato Declaratório Executivo";2018;27;"Ato Declaratório Executivo DRF/NIU nº 27, de 21 de novembro de 2018";NULL;NULL;"Concede Registro Especial – papel imune Contribuinte:Gráfica Prime Studio EIRELI CNPJ:18.501.831/0001-02 Processo:10735.722.073/2018-52";2018-12-24;2018-11-21;NULL;NULL;NULL;"Concede Registro Especial – papel imune Contribuinte:Gráfica Prime Studio EIRELI CNPJ:18.501.831/0001-02 Processo:10735.722.073/2018-52																																																																																																																																																																																																																																																																																																																																																																																																																																													 																																																																																													O Chefe do Serviço de Fiscalização da RECEITA FEDERAL DO BRASIL EM NOVA IGUAÇU, de acordo com o disposto no Regimento Interno da Secretaria da Receita Federal do Brasil, aprovado pela Portaria MF nº 430, de 09 de outubro de 2017 e tendo em vista o disposto no art. 2º e 5º, da IN RFB nº1.817 de 20 de julho de 2.018, declara:																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																													Art. 1º - Que, de conformidade com os termos do despacho exarado no Processo nº 10735.722.073/2018-52, fica o estabelecimento acima identificado inscrito como USUÁRIO (UP) sob o nº 07103/146 para realizar operações com papel destinado à impressão de livros, jornais e periódicos, no REGISTRO ESPECIAL previsto no art. 1º da Lei nº 11.945, de 04 de junho de 2009, regulamentado, no art.1º, da IN RFB nº 1.817/2.018, pelo prazo de três anos.																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																													CLAUDIO VASCONCELOS FILHO"
58;"Receita Federal";"Ato Declaratório Executivo";2018;11;"Ato Declaratório Executivo ALF/BHE nº 11, de 06 de dezembro de 2018";NULL;NULL;"Retificar Ato Declaratório (ADE) que habilitou a empresa Transportes Aéreos Portugueses S/A – TAP ao Regime Aduaneiro Especial de Depósito Afiançado.";2018-12-24;2018-12-06;NULL;NULL;NULL;"Retificar Ato Declaratório (ADE) que habilitou a empresa Transportes Aéreos Portugueses S/A – TAP ao Regime Aduaneiro Especial de Depósito Afiançado.																																																																																																																																																																																																																																																																																																																																																																																																																																													 																																																																																													O DELEGADO DA ALFÂNDEGA DA RECEITA FEDERAL DO BRASIL EM BELO HORIZONTE, no uso das atribuições que lhes conferem  o art. 340 do Regimento Interno da Secretaria da Receita Federal do Brasil, aprovado pela Portaria MF nº 430, de 09  de outubro de 2017 e o constante do Processo Administrativo 10090-000715/1217-82. resolve:																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																													Art. 1º - Promover a seguinte alteração no ADE nº 01, de 28 de janeiro de 2008, publicado no Diário Oficial da União de 31 de janeiro de 2008:																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																													O item CNPJ passa de 33.136.896/0004-32, para 33.136.896/0009-47, em razão de alteração cadastral apenas no número do cadastro do contribuinte.																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																													Art. 2º - Os eventos amparados na vigência do ADE nº 01, de 28 de janeiro de 2008 permanecem válidos.																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																													Art. 3º - Todos os demais itens constantes do ADE 01/2008 permanecem inalterados.																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																													Art. 4º - Este Ato Declaratório Executivo entra em vigor na data de sua publicação.																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																													JOÃO BATISTA DE SOUZA TRIGUEIRO"
59;"Receita Federal";"Solução de Consulta";2018;98361;"Solução de Consulta Cosit nº 98361, de 23 de novembro de 2018";NULL;NULL;"Classificação de Mercadorias";2018-12-24;2018-11-23;NULL;NULL;NULL;"Código NCM: 9616.10.00 Mercadoria: Vaporizadores de modelos diversos, constituídos predominantemente de plástico, próprios para pulverizar perfume e outros produtos de toucador, comercialmente denominados “bicos pulverizadores” ou “bombas pulverizadoras”.DISPOSITIVOS LEGAIS:  RGI-1 e RGI-6 da NCM/SH, constante da TEC, aprovada pela Resolução Camex nº 125, de 2016, com alterações posteriores, e da Tipi, aprovada pelo Decreto nº 8.950, de 2016, com alterações posteriores. Subsídios extraídos das Nesh, aprovadas pelo Decreto nº 435, de 1992, e consolidadas pela IN RFB nº 1.788, de 2018.																																																																																																																																																																																																																																																																																																																																																																																																																																													 																																																																																																																																																																																				SC Cosit nº 98.361-2018.pdf"
60;"Receita Federal";"Ato Declaratório Executivo";2018;27;"Ato Declaratório Executivo ALF/CTA nº 27, de 27 de novembro de 2018";NULL;NULL;"Certifica como Operador Econômico Autorizado a pessoa jurídica que especifica.";2018-12-24;2018-11-27;NULL;NULL;NULL;"Certifica como Operador Econômico Autorizado a pessoa jurídica que especifica.																																																																																																																																																																																																																																																																																																																																																																																																																																													 																																																																																													O CHEFE DA EQUIPE DE GESTÃO DE OPERADORES ECONÔMICOS AUTORIZADOS DA ALFÂNDEGA DA RECEITA FEDERAL EM CURITIBA, instituída por meio da Portaria MF nº 430, de 9 de outubro de 2017, que aprovou o Regimento Interno da RFB, no uso da atribuição que lhe confere o art. 18 da Instrução Normativa RFB nº 1.598, de 9 de dezembro de 2015, e tendo em vista o que consta do Dossiê Digital de Atendimento nº 10120.004549/0616-13,resolve:																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																													Art. 1º Certificar como Operador Econômico Autorizado, em caráter precário, com prazo de validade indeterminado, na modalidade OEA-Segurança, como Exportador e Importador, CARGILL ALIMENTOS LTDA, inscrita no CNPJ sob o nº 01.961.898/0001-27.																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																													Art. 2º Esta certificação é extensiva a todos os estabelecimentos da pessoa jurídica supracitada.																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																													Art. 3º Este Ato Declaratório Executivo entra em vigor na data de sua publicação no Diário Oficial da União.																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																													RINALD BOASSI"
61;"Receita Federal";"Solução de Divergência";2018;98019;"Solução de Divergência Cosit nº 98019, de 14 de novembro de 2018";NULL;NULL;"Classificação de Mercadorias";2018-12-24;2018-11-14;NULL;NULL;NULL;"Reforma de ofício a Solução de Consulta SRRF/4ª RF/DIANA nº 13, de 07 de outubro de 2009.Código NCM 8517.12.31 Mercadoria: Telefone inteligente (smartphone) para comunicação em redes celulares, que agrega funcionalidades de um assistente pessoal digital (personal digital assistant - PDA), contendo: microprocessador Samsung 400 Mhz, memória RAM 64MB, memória ROM 512 MB, tela sensível ao toque colorida de 2,8” (240 x 320 pixels), teclado físico, Bluetooth, WiFi, GSM/GPRS/EDGE, mini SDIO card slot, mini USB, Sistema de Posicionamento Global (GPS) e sistema operacional Microsoft Windows Mobile 6 Professional; a depender do modelo, possui leitor a laser (para leitura de código de barras em 1D) ou câmera CMOS (para leitura de códigos de barras em 1D e 2D); dimensões de 140,8 x 62,3 x 24,5 mm e peso aproximado de 190 g incluindo a bateria, comercialmente denominado “Coletor de Dados”, “Personal Digital Assistant” (PDA) ou “Smartphone”.DISPOSITIVOS LEGAIS:  RGI 1 (posição 85.17 e Nota 3 da Seção XVI) e RGI 6 (subposições 8517.1 e 8517.12) e RGC 1 (item 8517.12.3 e subitem 8517.12.31) da NCM constante na TEC, aprovada pela Resolução Camex nº 125, de 2016, e na Tipi aprovada pelo Decreto 8.950, de 2016, e subsídios extraídos das Nesh, aprovadas pelo Decreto nº 435/1992, e atualizadas pela IN RFB nº 1.788/2018, e alterações posteriores.																																																																																																																																																																																																																																																																																																																																																																																																																																													 																																																																																																																																																																																				SD Cosit n° 98.019-2018.pdf"
62;"Receita Federal";"Ato Declaratório Executivo";2018;193;"Ato Declaratório Executivo Decex/RJO nº 193, de 22 de novembro de 2018";NULL;NULL;Retificação;2018-12-24;2018-11-22;NULL;NULL;NULL;"Retificação																																																																																																																																																																																																																																																																																																																																																																																																																																													 																																																																																													No Ato Declaratório Executivo nº 185, de 23 de novembro de 2018, publicado no Diário Oficial da União - DOU nº 225, Seção 1, página 237 em 23 de novembro de 2018,																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																													Onde se lê: “ATO DECLARATÓRIO EXECUTIVO Nº 185, 																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																													Leia-se:“ATO DECLARATÓRIO EXECUTIVO Nº 193”.																																																																																																																																																																																																																																																																																																										(Ato Declaratório Executivo																											Decex/RJO																										nº													193,													de													22/11/18													-																											NOTA NORMAS: ORIGINALMENTE PUBLICADO COMO ADE																										-													Vide)																																																																																																																																																																																																																																																 																																																																																													."
63;"Receita Federal";"Solução de Consulta";2018;98360;"Solução de Consulta Cosit nº 98360, de 22 de novembro de 2018";NULL;NULL;"Classificação de Mercadorias";2018-12-24;2018-11-22;NULL;NULL;NULL;"Código NCM: 8504.40.90 Mercadoria: Conversor elétrico estático de potência, constituído essencialmente por retificador de frente ativa (ponte de semicondutores regenerativos - IGBTs), barramento de corrente contínua (formado por capacitores) e inversor, utilizado em aerogerador no processo de sincronização com a rede elétrica.DISPOSITIVOS LEGAIS:  RGI 1 (Nota 2 a) da Seção XVI e texto da posição 85.04), RGI 6 (texto da subposição 8504.40) e RGC 1 (texto do item 8504.40.90) da TEC, aprovada pela Resolução Camex nº 125, de 2016, e da Tipi, aprovada pelo Decreto nº 8.950, de 2016 e subsídios extraídos das Nesh, aprovadas pelo Dec. nº 435, de 1992, e atualizadas pela IN RFB nº 1.788, de 2018.																																																																																																																																																																																																																																																																																																																																																																																																																																													 																																																																																																																																																																																				SC Cosit nº 98.360-2018.pdf"
64;"Receita Federal";"Ato Declaratório Executivo";2018;31;"Ato Declaratório Executivo SRRF09 nº 31, de 27 de novembro de 2018";NULL;NULL;"Prorrogação do prazo de vigência do alfandegamento concedido a instalações portuárias marítimas localizadas dentro do Porto Organizado de Paranaguá";2018-12-24;2018-11-27;NULL;NULL;NULL;"Prorrogação do prazo de vigência do alfandegamento concedido a instalações portuárias marítimas localizadas dentro do Porto Organizado de Paranaguá																																																																																																																																																																																																																																																																																																																																																																																																																																													 																																																																																													O SUPERINTENDENTE DA RECEITA FEDERAL DO BRASIL DA 9ª REGIÃO FISCAL, com a competência estabelecida no art. 26 da Portaria RFB nº 3.518, de 30 de setembro de 2011, e ainda, à vista do que consta no processo nº 10907.002710/2007-07, declara:																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																													Art. 1º O Ato Declaratório Executivo SRRF09 nº 66, de 15 de dezembro de 2008, publicado no Diário Oficial da União (D.O.U.) de 17 de dezembro de 2008, passa a vigorar com a seguinte redação:																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																													“Art. 1º Ficam alfandegadas, a título permanente, com fiscalização aduaneira ininterrupta, até 3 de maio de 2019, as instalações portuárias marítimas localizadas dentro da poligonal do Porto Organizado de Paranaguá, com um montante de área de 46.599,71 m2, qualificadas como Armazéns 01, 02 e 03 (AZ-01, AZ-02 e AZ-03), balanças rodoferroviárias e de fluxo, moega, tombador, elevadores, torre de transferência e, ainda, as correias transportadoras que se encarregam do transporte de granéis sólidos desde as referenciadas estruturas de armazenagem até o denominado Corredor de Exportação do Porto de Paranaguá, arrendadas pela Administração dos Portos de Paranaguá e Antonina (APPA) por meio dos Contratos de Arrendamento nº 067/98 e de Transição nº 080/2018, celebrados, respectivamente, em 20 de outubro de 1998 e 26 de outubro de 2018, sob a administração do estabelecimento filial nº 64 da empresa COAMO AGROINDUSTRIAL COOPERATIVA, inscrito no CNPJ sob o nº 75.904.383/0064-05.” (NR)																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																													Art. 2º Permanecem válidas e eficazes as demais disposições do supracitado ADE SRRF09 nº 66, de 2008.																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																													Art. 3º Este ato entra em vigor na data de sua publicação, produzindo efeitos desde o dia 5 de novembro de 2018.																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																													LUIZ BERNARDI"
65;"Receita Federal";Portaria;2018;857;"Portaria SRRF09 nº 857, de 23 de novembro de 2018";NULL;NULL;"Estabelece normas complementares para a simplificação de procedimentos nas operações de trânsito aduaneiro, mediante dispensa de etapas no âmbito da 9ª Região Fiscal.";2018-12-24;2018-11-23;NULL;NULL;NULL;"Estabelece normas complementares para a simplificação de procedimentos nas operações de trânsito aduaneiro, mediante dispensa de etapas no âmbito da 9ª Região Fiscal.																																																																																																																																																																																																																																																																																																																																																																																																																																													 																																																																																													O SUPERINTENDENTE-SUBSTITUTO DA RECEITA FEDERAL DO BRASIL DA 9ª REGIÃO FISCAL, no uso da competência atribuída pela Portaria RFB nº 1.882, de 31 de outubro de 2014, e das atribuições previstas no art. 340 do Regimento Interno da Secretaria da Receita Federal do Brasil, aprovado pela Portaria MF nº 430, de 9 de outubro de 2017, e com fundamento no art. 82 da Instrução Normativa SRF nº 248, de 25 de novembro de 2002, resolve:																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																													Art. 1º A autorização para a simplificação de procedimentos nas operações de trânsito aduaneiro mediante dispensa de etapas registradas no Siscomex Trânsito, realizadas entre locais e recintos alfandegados no âmbito da 9ª Região Fiscal, deverá observar os termos e condições estabelecidas nesta Portaria.																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																													Art. 2º A dispensa de etapas poderá recair sobre operações de trânsito realizadas por meio de DTA de Entrada Comum, para cargas conteinerizadas e com tratamento pátio na origem e armazenagem no destino, cujo beneficiário seja o depositário no local de destino, devidamente autorizado no Siscomex Trânsito pelo importador ou pelo consignatário da carga indicado no conhecimento de carga, nos termos da alínea “c”, inciso I do artigo 8º da IN SRF nº 248, de 2002.																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																													Art. 3º O pedido de simplificação nas operações de trânsito com dispensa de etapas deverá ser formalizado pelo beneficiário do regime junto à unidade RFB de origem da operação.																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																													Art. 4º As unidades RFB de origem e destino analisarão e decidirão em conjunto sobre a viabilidade técnica e operacional do pedido.																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																													Art. 5º No caso de deferimento do pedido, as informações pertinentes à operação, incluindo a definição das etapas a serem dispensadas na origem e no destino, deverão ser encaminhadas à Divisão de Administração Aduaneira/Diana da 9ª RF, que procederá ao registro no Siscomex Trânsito.																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																													Art. 6º Nas operações com dispensa de etapas, o depositário do local de destino, na qualidade de beneficiário do regime de trânsito, deverá firmar Termo de Responsabilidade, declarando assumir a condição de fiel depositário da mercadoria enquanto subsistir a operação de trânsito aduaneiro.																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																													Art. 7º As unidades RFB que configurarem como unidades de origem nas operações de trânsito aduaneiro com dispensa de etapas deverão editar atos complementares que indiquem os procedimentos a serem adotados pelos recintos e locais alfandegados no recebimento de cargas com tratamento “pátio” destinadas ao regime, incluindo o tratamento previsto para os casos de avaria ou extravio parcial; prazo de permanência na área de pátio, com observância do art. 71 da IN SRF nº 248, de 2002 e outras providências que couberem.																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																													Art. 8º As unidades RFB que configurarem como unidades de destino na operação de trânsito simplificado com dispensa de etapas poderão estabelecer as rotinas operacionais que se fizerem necessárias à manutenção do controle aduaneiro.																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																													Art. 9º Esta Portaria entra em vigor na data de sua publicação no Diário Oficial da União.																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																													REINALDO CESAR MOSCATO"
66;"Receita Federal";"Ato Declaratório Executivo";2018;13;"Ato Declaratório Executivo ALF/POA nº 13, de 26 de novembro de 2018";NULL;NULL;"Inscrição no Registro de Despachante Aduaneiro.";2018-12-24;2018-11-26;NULL;NULL;NULL;"Inscrição no Registro de Despachante Aduaneiro.																																																																																																																																																																																																																																																																																																																																																																																																																																													 																																																																																													O DELEGADO SUBSTITUTO DA ALFÂNDEGA DA RECEITA FEDERAL DO BRASIL EM PORTO ALEGRE, no uso das atribuições que lhe são conferidas pelo art. 340 do Regimento Interno da Secretaria da Receita Federal do Brasil, aprovado pela Portaria MF nº 430, de 09 de outubro de 2017, e tendo em vista o disposto na IN/RFB nº1.209, de 07 de novembro de 2011 e no artigo 810 do Decreto nº 6.759, de 05 de fevereiro de 2009, com nova redação dada pelo artigo 1º do Decreto nº 7.213, de 15 de junho de 2010, resolve:																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																													Art. 1º Incluir no Registro de Despachantes Aduaneiros:																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																																																																																							CPF							NOME							PROCESSO									846.424.910-15							GABRIEL			DIEGUES DA SILVA SAUVAS							10494.720540/2018-90																																																																																																																																																																																																																																																																																																																																																													 																																																																																													Art. 2º Cancelar a inscrição no Registro de Ajudantes de Despachantes Aduaneiros, em razão da inclusão no Registro de Despachantes Aduaneiros:																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																																																																																								INSCRIÇÃO							CPF							NOME							PROCESSO									10A.04.256							846.424.910-15							GABRIEL			DIEGUES DA SILVA SAUVAS							11011.000463/2010-49																																																																																																																																																																																																																																																																																																																																																													 																																																																																													Art. 3º O Despachante Aduaneiro deverá incluir seus dados cadastrais, mediante utilização de certificado digital, no Cadastro Aduaneiro Informatizado de Intervenientes no Comércio Exterior- sistema CAD-ADUANA, para fins de sua efetivação no Registro Informatizado de Despachantes Aduaneiros, de acordo com a IN RFB nº 1.273, de 06 de junho de 2012 e ADE COANA nº 27, de 17 de setembro de 2013.																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																													Art. 4º Este Ato Declaratório Executivo entra em vigor na data de sua publicação.																																																																																																																																																																																																																																																																																																																																																																																																																										 																																																																																													DANIEL BRASIL BALBÃO."
